pair,universe_mode,peer_group,ticker_y,ticker_x,stage,hedge_mode,entry_threshold,exit_threshold,stop_threshold,max_holding_period,zscore_window,use_volatility_filter,volatility_percentile,cooldown_days,stability_score,training_score,validation_total_return,validation_sharpe,validation_max_drawdown,validation_volatility,validation_profit_factor,validation_trades,validation_turnover,validation_average_holding_period,validation_win_rate,robust_score,weight,segment,train_start,train_end,validation_start,validation_end,test_start,test_end,train_observations,validation_observations,test_observations
AXP/COF,stock_peer_groups,payments_credit,AXP,COF,refinement,kalman,2.0,0.0,3.5,20,34,False,0.9,0,0.7881396276277582,0.7872988896659742,0.0477169689275078,0.6923449489593035,-0.0480814030266694,0.1411302951303657,5.030185831579246,3.0,6.0,17.333333333333332,0.6666666666666666,0.786676979120295,0.1583772339992794,15,2018-10-03,2020-10-02,2020-10-05,2021-04-06,2021-04-07,2021-07-06,504,126,63
ADI/MCHP,stock_peer_groups,semiconductors,ADI,MCHP,refinement,kalman,2.0,0.0,3.5,20,21,False,0.9,0,0.8897417585055523,0.8015022168337679,0.0131077567364745,0.4013775203132104,-0.0304347700208852,0.0657419148412215,2.326889408612324,4.0,7.0,16.5,0.25,0.5125643791185881,0.3399935312233139,15,2018-10-03,2020-10-02,2020-10-05,2021-04-06,2021-04-07,2021-07-06,504,126,63
MCHP/NXPI,stock_peer_groups,semiconductors,MCHP,NXPI,refinement,kalman,2.0,0.0,3.5,20,24,False,0.9,0,0.796268611173765,0.8439167054583117,0.1207861272924408,2.847079225892052,-0.0314627659035481,0.0899734509674301,73.05650565413687,4.0,8.0,20.0,0.75,2.5817730027203503,0.5,16,2019-01-04,2021-01-04,2021-01-05,2021-07-06,2021-07-07,2021-10-04,504,126,63
NSC/UNP,stock_peer_groups,railroads,UNP,NSC,refinement,kalman,2.0,0.0,3.5,20,22,False,0.9,0,0.8878229122471882,1.1960632978267278,0.0251697278554754,1.0202262326555498,-0.0303266061545441,0.0499624193926007,2.5191833714852483,4.0,8.0,20.0,0.75,1.0079626575103593,0.5,16,2019-01-04,2021-01-04,2021-01-05,2021-07-06,2021-07-07,2021-10-04,504,126,63
COST/WMT,stock_peer_groups,big_box_retail,WMT,COST,refinement,kalman,2.0,0.0,3.5,20,20,False,0.9,0,0.9691990680706996,1.16005706913341,0.0035753902030768,0.1354647730019493,-0.0219455291541801,0.0528813776638067,1.2708326138341148,4.0,7.0,16.5,0.5,0.2439047109156296,1.0,17,2019-04-05,2021-04-06,2021-04-07,2021-10-04,2021-10-05,2022-01-03,504,126,63
INTU/ORCL,stock_peer_groups,enterprise_software,ORCL,INTU,refinement,kalman,2.0,0.0,3.5,20,31,False,0.9,0,0.6863462397923916,0.9551882922230313,0.2383241454074849,2.68847516141154,-0.0487175987775476,0.1984197945199168,11.728485786479498,4.0,7.0,17.25,0.75,2.4430265393387964,0.3,18,2019-07-08,2021-07-06,2021-07-07,2022-01-03,2022-01-04,2022-04-04,504,126,63
CAT/DE,stock_peer_groups,industrial_machinery,CAT,DE,refinement,kalman,2.0,0.0,3.5,20,25,False,0.9,0,0.8938335024137791,1.0138708652538302,0.050910157593291,1.7690430098652477,-0.0236847753250625,0.0590218320020999,5.605265718653448,3.0,6.0,20.0,0.6666666666666666,1.5851603506183334,0.35,18,2019-07-08,2021-07-06,2021-07-07,2022-01-03,2022-01-04,2022-04-04,504,126,63
CSX/UNP,stock_peer_groups,railroads,UNP,CSX,refinement,kalman,2.0,0.0,3.5,20,24,False,0.9,0,0.8251752277912353,1.1757372365882908,0.0048188569294207,0.264721599462065,-0.0280064785307904,0.0364946995658063,2.141481305129816,3.0,6.0,20.0,0.6666666666666666,0.3790522505044127,0.35,18,2019-07-08,2021-07-06,2021-07-07,2022-01-03,2022-01-04,2022-04-04,504,126,63
AXP/COF,stock_peer_groups,payments_credit,AXP,COF,refinement,kalman,2.0,0.0,3.5,20,20,False,0.9,0,0.9070078288204074,0.9474776551816336,0.2295082758719349,4.726764608011707,-0.027081997055314,0.1082538782596196,5.0,4.0,8.0,20.0,1.0,4.15216115040697,0.5,19,2019-10-04,2021-10-04,2021-10-05,2022-04-04,2022-04-05,2022-07-06,504,126,63
ABBV/JNJ,stock_peer_groups,large_pharma,JNJ,ABBV,refinement,kalman,2.0,0.0,3.5,20,23,False,0.9,0,0.7815130305028086,0.9617460240710292,0.0704549267681753,2.291945777251367,-0.0204590285383843,0.0636462483930137,14.266816686852012,4.0,8.0,20.0,0.5,2.132089144533307,0.5,19,2019-10-04,2021-10-04,2021-10-05,2022-04-04,2022-04-05,2022-07-06,504,126,63
